District,Gilgit,Muzaffargarh,Sukkur
Attock,89,78,67
Bahawalnagar,89,78,67
Bahawalpur,89,78,67
Bhakkar,89,78,67
Chakwal,89,78,67
Chiniot,89,78,67
Dera Ghazi Khan,89,78,67
Faisalabad,89,78,67
Gujranwala,89,78,67
Gujrat,89,78,67
Hafizabad,89,78,67
Jhang,89,78,67
Jhelum,89,78,67
Kasur,89,78,67
Khanewal,89,78,67
Khushab,89,78,67
Lahore,89,78,67
Layyah,89,78,67
Lodhran,89,78,67
Mandi Bahauddin,89,78,67
Mianwali,89,78,67
Multan,89,78,67
Murree,89,78,67
Muzaffargarh,89,78,67
Narowal,89,78,67
Nankana Sahib,89,78,67
Okara,89,78,67
Pakpattan,89,78,67
Rahim Yar Khan,89,78,67
Rajanpur,89,78,67
Rawalpindi,89,78,67
Sahiwal,89,78,67
Sargodha,89,78,67
Sheikhupura,89,78,67
Sialkot,89,78,67
Toba Tek Singh,89,78,67
Vehari,89,78,67
Wazirabad,89,78,67
Talagang,89,78,67
Taunsa,89,78,67
Badin,89,78,67
Dadu,89,78,67
Ghotki,89,78,67
Hyderabad,89,78,67
Jacobabad,89,78,67
Jamshoro,89,78,67
Karachi Central,89,78,67
Karachi East,89,78,67
Karachi South,89,78,67
Karachi West,89,78,67
Keamari,89,78,67
Korangi,89,78,67
Malir,89,78,67
Kashmore,89,78,67
Khairpur,89,78,67
Larkana,89,78,67
Matiari,89,78,67
Mirpur Khas,89,78,67
Naushahro Feroze (Shaheed Benazir Abad),89,78,67
Qambar-Shahdadkot,89,78,67
Sanghar,89,78,67
Shikarpur,89,78,67
Sukkur,89,78,67
Tando Allahyar,89,78,67
Tando Muhammad Khan,89,78,67
Tharparkar,89,78,67
Thatta,89,78,67
Umerkot,89,78,67
Sujawal,89,78,67
Abbottabad,89,78,67
Bajaur,89,78,67
Bannu,89,78,67
Batagram,89,78,67
Buner,89,78,67
Charsadda,89,78,67
Chitral,89,78,67
Dera Ismail Khan (D.I. Khan),89,78,67
Hangu,89,78,67
Haripur,89,78,67
Karak,89,78,67
Khyber,89,78,67
Kohat,89,78,67
Kohistan (Abasin/Indus Kohistan),89,78,67
Kurram,89,78,67
Lakki Marwat,89,78,67
Lower Dir,89,78,67
Malakand,89,78,67
Mansehra,89,78,67
Mardan,89,78,67
Mohmand,89,78,67
North Waziristan,89,78,67
Nowshera,89,78,67
Orakzai,89,78,67
Peshawar,89,78,67
Shangla,89,78,67
South Waziristan,89,78,67
Swabi,89,78,67
Swat,89,78,67
Tank,89,78,67
Torghar (Tor Ghar / Kala Dhaka),89,78,67
Upper Dir,89,78,67
Awaran,89,78,67
Barkhan,89,78,67
Chagai,89,78,67
Chaman,89,78,67
Dera Bugti,89,78,67
Duki,89,78,67
Gwadar,89,78,67
Harnai,89,78,67
Hub,89,78,67
Jaffarabad,89,78,67
Jhal Magsi,89,78,67
Kachhi (Bolan),89,78,67
Kalat,89,78,67
Kech (Turbat),89,78,67
Kharan,89,78,67
Khuzdar,89,78,67
Killa Abdullah,89,78,67
Killa Saifullah,89,78,67
Kohlu,89,78,67
Lasbela,89,78,67
Lehri,89,78,67
Loralai,89,78,67
Mastung,89,78,67
Musakhel,89,78,67
Nasirabad,89,78,67
Nushki,89,78,67
Panjgur,89,78,67
Pishin,89,78,67
Quetta,89,78,67
Sherani (Shirani),89,78,67
Sibi,89,78,67
Sohbatpur,89,78,67
Surab,89,78,67
Washuk,89,78,67
Zhob,89,78,67
Ziarat,89,78,67
Astore,89,78,67
Diamer,89,78,67
Ghanche,89,78,67
Ghizer,89,78,67
Gilgit,89,78,67
Hunza,89,78,67
Kharmang,89,78,67
Skardu,89,78,67
Shigar,89,78,67
Nagar,89,78,67
Roundu,89,78,67
Darel,89,78,67
Tangir,89,78,67
Gupis-Yasin,89,78,67
Muzaffarabad,89,78,67
Hattian Bala,89,78,67
Neelum (Neelam),89,78,67
Mirpur,89,78,67
Bhimber,89,78,67
Kotli,89,78,67
Poonch,89,78,67
Bagh,89,78,67
Haveli,89,78,67
Sudhanoti (Sudhnati),89,78,67
